Population,Locality,Municipality,County,Latitude,Longitude,X-Sweref99TM,Y-Sweref99TM
1617407,"Stockholm",Stockholm,Stockholm,59.3202,17.9545,668127.86,6579433.5
607882,"Göteborg",Göteborg,Västra Götaland,57.657,11.9946,320691.15,6394498.93
325069,"Malmö",Malmö,Skåne,55.5968,13.0123,374755.84,6163000.44
166698,"Uppsala",Uppsala,Uppsala,59.8434,17.5501,642888.7,6636722.64
149701,"Upplands Väsby och Sollentuna",Sollentuna,Stockholm,59.4658,17.8805,663217.48,6595455.19
128660,"Västerås",Västerås,Västmanland,59.6301,16.5429,587013.91,6611233.2
126604,"Örebro",Örebro,Örebro,59.2609,15.1914,510914.86,6569118
115682,"Linköping",Linköping,Östergötland,58.3986,15.6264,536611.57,6473260.61
113828,"Helsingborg",Helsingborg,Skåne,56.0391,12.7212,358036.27,6212773.83
100579,"Jönköping",Jönköping,Jönköping,57.7451,14.1328,448378.99,6400661.31
98088,"Norrköping",Norrköping,Östergötland,58.5843,16.1848,568886.44,6494376.71
94393,"Lund",Lund,Skåne,55.7079,13.1997,386881.74,6175039.44
91916,"Umeå",Umeå,Västerbotten,63.8307,20.2558,758406.14,7088792.38
79004,"Gävle",Gävle,Gävleborg,60.6868,17.1297,616307.7,6729787.87
76320,"Södertälje",Södertälje,Stockholm,59.1941,17.6304,650244.55,6564633.63
74042,"Borås",Borås,Västra Götaland,57.7283,12.945,377624.56,6400312.92
71422,"Halmstad",Halmstad,Halland,56.6672,12.851,368303.45,6282405.45
71282,"Växjö",Växjö,Kronoberg,56.8873,14.7917,487306.83,6304857.73
69948,"Eskilstuna",Eskilstuna,Södermanland,59.3579,16.4795,584110.1,6580835.31
67122,"Karlstad",Karlstad,Värmland,59.4046,13.5058,415169.32,6586055.63
58813,"Sundsvall",Sundsvall,Västernorrland,62.4185,17.2097,614131.6,6922755.37
52980,"Östersund",Östersund,Jämtland,63.1453,14.717,485737.81,7001808.84
50502,"Trollhättan",Trollhättan,Västra Götaland,58.2886,12.2987,341640.23,6464019.94
49123,"Luleå",Luleå,Norrbotten,65.5879,22.1906,831037.85,7292929.2
47211,"Nordöstra Göteborg",Göteborg,Västra Götaland,57.7947,12.0452,324379.57,6409689.53
46014,"Tumba",Botkyrka,Stockholm,59.1921,17.7117,654898.9,6564588.44
44898,"Borlänge",Borlänge,Dalarna,60.4765,15.4471,524575.99,6704568.64
44091,"Lidingö",Lidingö,Stockholm,59.3616,18.1395,678432.42,6584524.09
41852,"Kalmar",Kalmar,Kalmar,56.6831,16.342,582209.87,6282914.72
41299,"Kristianstad",Kristianstad,Skåne,56.023,14.1256,445498.75,6208984.23
39580,"Skövde",Skövde,Västra Götaland,58.3984,13.8616,433461.36,6473633.3
39492,"Falun",Falun,Dalarna,60.6052,15.6031,533023.25,6718968.5
38780,"Nyköping",Nyköping,Södermanland,58.7473,17.0261,617246.48,6513691.81
36904,"Karlskrona",Karlskrona,Blekinge,56.1921,15.6279,538963.02,6227638.53
36388,"Skellefteå",Skellefteå,Västerbotten,64.7528,20.8717,779135.1,7193862.58
36327,"Varberg",Varberg,Halland,57.0918,12.2614,334070.19,6330931.31
35916,"Uddevalla",Uddevalla,Västra Götaland,58.3544,11.909,319142.96,6472318.61
35747,"Åkersberga",Österåker,Stockholm,59.4876,18.2441,683689.01,6598834.16
33466,"Landskrona",Landskrona,Skåne,55.8817,12.8447,365180.76,6195016.35
33348,"Örnsköldsvik",Örnsköldsvik,Västernorrland,63.2935,18.5541,678145.41,7023232.8
33336,"Vallentuna",Vallentuna,Stockholm,59.5194,18.0803,674254.59,6601928.14
31340,"Motala",Motala,Östergötland,58.5458,15.0334,501943.69,6489479.73
30808,"Trelleborg",Trelleborg,Skåne,55.3682,13.2123,386696.91,6137215.85
29815,"Märsta",Sigtuna,Stockholm,59.6233,17.8365,659979.13,6612872.63
29490,"Ängelholm",Ängelholm,Skåne,56.2798,12.8346,365940.16,6239332.47
28747,"Falkenberg",Falkenberg,Halland,56.8999,12.5019,347857.29,6309022.26
28520,"Lerum",Lerum,Västra Götaland,57.7853,12.3037,339697.04,6408000.26
27433,"Alingsås",Alingsås,Västra Götaland,57.9297,12.5275,353586.97,6423563.4
27360,"Karlskoga",Karlskoga,Örebro,59.3352,14.5273,473108.9,6577470.42
26960,"Kungälv",Kungälv,Västra Götaland,57.8786,11.9381,318439.72,6419306.47
25344,"Sandviken",Sandviken,Gävleborg,60.6028,16.7654,596662.57,6719841.54
25071,"Enköping",Enköping,Uppsala,59.639,17.1047,618656.98,6613086.65
24951,"Visby",Gotland,Gotland,57.6296,18.3115,697712.19,6392296.65
24558,"Vänersborg",Vänersborg,Västra Götaland,58.3619,12.3168,343027.32,6472131.2
24483,"Katrineholm",Katrineholm,Södermanland,58.9922,16.1962,568734.88,6539793.33
24341,"Gustavsberg",Värmdö,Stockholm,59.3388,18.487,698305.41,6582973.8
24071,"Kungsbacka",Kungsbacka,Halland,57.4943,12.0778,324875.42,6376183.64
23934,"Piteå",Piteå,Norrbotten,65.2958,21.5001,802705.39,7257043.34
23656,"Lidköping",Lidköping,Västra Götaland,58.4958,13.1464,391960.8,6485403.72
22448,"Torslanda",Göteborg,Västra Götaland,57.7212,11.7747,307919.74,6402240.64
22018,"Norrtälje",Norrtälje,Stockholm,59.756,18.7138,708601.52,6630077.97
21472,"Västervik",Västervik,Kalmar,57.7603,16.6271,596813.5,6403188.96
20228,"Karlshamn",Karlshamn,Blekinge,56.2021,14.8428,490245.55,6228579.41
20195,"Ystad",Ystad,Skåne,55.4377,13.8334,426190.58,6144122.01
19822,"Värnamo",Värnamo,Jönköping,57.1905,14.0349,441673.31,6339006.07
19794,"Eslöv",Eslöv,Skåne,55.8404,13.299,393483.65,6189625.51
19435,"Hässleholm",Hässleholm,Skåne,56.1552,13.7797,424202.8,6224028.47
19381,"Västerhaninge",Haninge,Stockholm,59.1145,18.0642,675420.98,6556833.91
18921,"Oskarshamn",Oskarshamn,Kalmar,57.2714,16.4475,587286.34,6348525.56
18720,"Köping",Köping,Västmanland,59.5126,15.9914,556107.36,6597551.86
18597,"Kristinehamn",Kristinehamn,Värmland,59.3057,14.105,449038.46,6574435.17
18508,"Härnösand",Härnösand,Västernorrland,62.6291,17.9386,650697.17,6947696.9
18479,"Nässjö",Nässjö,Jönköping,57.6546,14.7048,482384.1,6390296.89
18392,"Mölnlycke",Härryda,Västra Götaland,57.6561,12.1323,328902.08,6394046.8
17939,"Falköping",Falköping,Västra Götaland,58.1699,13.5552,415008.91,6448532.35
17513,"Kiruna",Kiruna,Norrbotten,67.8523,20.2681,721411.21,7535832.1
17264,"Kumla",Kumla,Örebro,59.127,15.1379,507895.56,6554205.71
16854,"Staffanstorp",Staffanstorp,Skåne,55.6391,13.2075,387169.73,6167369.55
16832,"Boden",Boden,Norrbotten,65.8223,21.7084,806122.81,7316474.88
16632,"Mariestad",Mariestad,Västra Götaland,58.7028,13.8301,432208.63,6507546.14
16559,"Hudiksvall",Hudiksvall,Gävleborg,61.7312,17.1372,612909.74,6846092.93
16268,"Avesta",Avesta,Dalarna,60.1459,16.1425,563441.96,6668212.84
16098,"Ljungby",Ljungby,Kronoberg,56.8303,13.9399,435311.85,6298996.57
16001,"Höganäs",Höganäs,Skåne,56.2087,12.5506,348078.75,6232007
15614,"Ludvika",Ludvika,Dalarna,60.1291,15.1943,510793.1,6665803.61
15598,"Höllviken och Ljunghusen",Vellinge,Skåne,55.4103,12.9597,370831.29,6142339.27
15452,"Kinna",Mark,Västra Götaland,57.4944,12.6765,360744.24,6374802.1
15436,"Bålsta",Håbo,Uppsala,59.5606,17.5175,642256.7,6605177.03
15212,"Bunkeflostrand",Malmö,Skåne,55.5406,12.9192,368702.2,6156912.18
15108,"Nynäshamn",Nynäshamn,Stockholm,58.9077,17.9468,669716.48,6533508.81
14803,"Strängnäs",Strängnäs,Södermanland,59.3595,17.0336,615604.28,6581844.44
14789,"Tranås",Tranås,Jönköping,58.0313,14.9783,498716.81,6432194.66
14489,"Skoghall",Hammarö,Värmland,59.332,13.4985,414569.75,6577983.87
14383,"Arvika",Arvika,Värmland,59.6589,12.599,364722.96,6615875.15
14167,"Stenungsund",Stenungsund,Västra Götaland,58.0606,11.8397,313554.57,6439822.34
14033,"Bollnäs",Bollnäs,Gävleborg,61.3399,16.386,574158.86,6801435.94
13959,"Mjölby",Mjölby,Östergötland,58.3316,15.1159,506786.21,6465639.85
13779,"Sala",Sala,Västmanland,59.9275,16.5855,588625.32,6644393.18
13772,"Lomma",Lomma,Skåne,55.6743,13.0764,379032.12,6171508.4
13674,"Vetlanda",Vetlanda,Jönköping,57.4218,15.0804,504828.18,6364339.66
13599,"Nybro",Nybro,Kalmar,56.7484,15.9113,555733.1,6289753.22
13575,"Oxie",Malmö,Skåne,55.5407,13.0976,379958.27,6156610.11
13261,"Finspång",Finspång,Östergötland,58.7051,15.7626,544186.16,6507464.38
12976,"Höör",Höör,Skåne,55.9239,13.5468,409191.56,6198561.79
12918,"Svedala",Svedala,Skåne,55.5117,13.2359,388600.67,6153150.98
12854,"Mora",Mora,Dalarna,61.014,14.5638,476418.63,6764427.13
12803,"Ronneby",Ronneby,Blekinge,56.2087,15.2818,517481.32,6229339.42
12497,"Kungsängen",Upplands-Bro,Stockholm,59.4864,17.7315,654686.03,6597397.29
12415,"Onsala",Kungsbacka,Halland,57.4197,12.022,321168.51,6368024.12
12332,"Ekerö",Ekerö,Stockholm,59.281,17.7936,659158.42,6574674.42
12213,"Söderhamn",Söderhamn,Gävleborg,61.3113,17.0779,611271.38,6799234.48
11826,"Fagersta",Fagersta,Västmanland,59.9967,15.8049,544898.87,6651320.09
11607,"Jordbro",Haninge,Stockholm,59.1436,18.1257,678787.3,6560225.28
11549,"Skara",Skara,Västra Götaland,58.3825,13.4348,408473.54,6472357.32
11476,"Nödinge-Nol",Ale,Västra Götaland,57.9079,12.0607,325846.35,6422244.44
11420,"Oxelösund",Oxelösund,Södermanland,58.6711,17.0826,620779.01,6505305.95
11410,"Ulricehamn",Ulricehamn,Västra Götaland,57.7882,13.4193,406022.88,6406222.35
11023,"Eksjö",Eksjö,Jönköping,57.6605,14.9685,498119.26,6390914.11
11003,"Älmhult",Älmhult,Kronoberg,56.5572,14.1368,446945.07,6268435.36
10989,"Arboga",Arboga,Västmanland,59.3953,15.8542,548513.56,6584383.4
10929,"Gällivare",Gällivare,Norrbotten,67.1438,20.6575,744942.84,7458564.06
10911,"Bjuv",Bjuv,Skåne,56.0685,12.9517,372488.09,6215596.51
10494,"Timrå",Timrå,Västernorrland,62.4966,17.3479,620948.78,6931706.02
10487,"Åhus",Kristianstad,Skåne,55.9268,14.297,456071.81,6198160.75
10269,"Gislaved",Gislaved,Jönköping,57.3027,13.5469,412448.46,6352021.38
10030,"Kävlinge",Kävlinge,Skåne,55.7961,13.114,381761.79,6184996.8
9916,"Bjärred",Lomma,Skåne,55.7168,13.0318,376361.23,6176319.8
9898,"Hallstahammar",Hallstahammar,Västmanland,59.6149,16.2355,569708.08,6609169.32
9814,"Sävja",Uppsala,Uppsala,59.815,17.7046,651668.47,6633900.82
